ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region,HRAF_region
CCMCguad1242,Guadeloupe-Martinique Creole French,16.304875,-61.405914,guad1242,,,,,,,,,,,Caribbean,
CCMCguan1269,Kotiria,1.07554,-69.5705,guan1269,,,,,,,,,,,Brazil,
CCMCguer1241,Central Guerrero Nahuatl,17.8583,-99.0023,guer1241,,,,,,,,,,,Mexico,
CCMCgugu1254,Gugubera,-15.4296,141.635,gugu1254,,,,,,,,,,,Australia,
CCMCguja1252,Gujarati,22.687,71.0962,guja1252,,,,,,,,,,,Indian Subcontinent,
CCMCgulf1241,Gulf Arabic,30.17,47.5,gulf1241,,,,,,,,,,,Western Asia,
CCMCgunw1252,Bininj Kun-Wok,-12.3398,133.358,gunw1252,,,,,,,,,,,Australia,
CCMChadr1236,Hadrami Arabic,15.4468,48.6524,hadr1236,,,,,,,,,,,Arabian Peninsula,
CCMChaid1248,Haida,53.63306599999999,-132.0436285,haid1248,,,,,,,,,,,Western Canada,
CCMChait1244,Haitian,18.795135,-72.136115,hait1244,,,,,,,,,,,Caribbean,
CCMChanu1241,Hanunoo,12.4159,121.221,hanu1241,,,,,,,,,,,Malesia,
CCMChass1238,Hassaniyya,18.29,-14.11,hass1238,,,,,,,,,,,West Tropical Africa,
CCMChava1248,Havasupai-Walapai-Yavapai,35.6302,-113.385,hava1248,,,,,,,,,,,Southwestern U.S.A.,
CCMChawa1245,Hawaiian,19.6297,-155.43,hawa1245,,,,,,,,,,,North-Central Pacific,
CCMChere1253,Herero,-21.0231,20.5655,here1253,,,,,,,,,,,Southern Africa,
CCMChima1250,Himachali,31.411180998795718,77.13756627624385,hima1250,,,,,,,,,,,Indian Subcontinent,
CCMChind1269,Hindi,25.0,77.0,hind1269,,,,,,,,,,,Indian Subcontinent,
CCMChopi1249,Hopi,35.7653,-110.535,hopi1249,,,,,,,,,,,Southwestern U.S.A.,
CCMChuau1238,Huautla Mazatec,18.2556,-96.724,huau1238,,,,,,,,,,,Mexico,
CCMChuic1243,Huichol,21.954,-104.062,huic1243,,,,,,,,,,,Mexico,
CCMChung1274,Hungarian,46.9068585714,19.6555271429,hung1274,,,,,,,,,,,Middle Europe,
CCMCicel1247,Icelandic,63.4837,-19.0212,icel1247,,,,,,,,,,,Northern Europe,
CCMCindo1316,Standard Indonesian,-7.33458,109.716,indo1316,,,,,,,,,,,Malesia,
CCMCindo1317,Indonesian Bajau,-3.68664,122.253,indo1317,,,,,,,,,,,Malesia,
CCMCiris1255,Irish English,53.0,-1.0,iris1255,,,,,,,,,,,Northern Europe,
CCMCital1282,Italian,43.0464,12.6489,ital1282,,,,,,,,,,,Southeastern Europe,
CCMCiumi1238,Iu Mien,20.83,101.17,iumi1238,,,,,,,,,,,Indo-China,
CCMCiwai1244,Iwaidja,-11.3379,132.453,iwai1244,,,,,,,,,,,Australia,
CCMCixil1251,Ixil,15.4569,-90.8935,ixil1251,,,,,,,,,,,Central America,
CCMCjama1262,Jamaican Creole English,18.13,-77.2612,jama1262,,,,,,,,,,,Caribbean,
CCMCjamb1236,Jambi Malay,-2.6469,103.13,jamb1236,,,,,,,,,,,Malesia,
CCMCjaun1243,Jaunsari,30.5587,77.9084,jaun1243,,,,,,,,,,,Indian Subcontinent,
CCMCjava1254,Javanese,-7.001,109.287,java1254,,,,,,,,,,,Malesia,
CCMCjeha1242,Jehai,5.63695,101.541,jeha1242,,,,,,,,,,,Malesia,
CCMCjiva1245,Chicham,-4.361705000000001,-77.8664,jiva1245,,,,,,,,,,,Western South America,
CCMCjola1263,Jola-Fonyi,12.75752,-15.7354766667,jola1263,,,,,,,,,,,West Tropical Africa,
CCMCjuho1239,South-Eastern Ju,-19.688,20.7673,juho1239,,,,,,,,,,,Southern Africa,
CCMCjuru1256,Jurúna,-10.9354,-53.3472,juru1256,,,,,,,,,,,Brazil,
CCMCkabi1260,Kabikabi,-25.44486229,153.1539929,kabi1260,,,,,,,,,,,Australia,
CCMCkach1277,Kachchi,23.83,69.0,kach1277,,,,,,,,,,,Indian Subcontinent,
CCMCkain1272,Kaingang,-27.7671,-52.5394,kain1272,,,,,,,,,,,Brazil,
CCMCkala1377,Kala Lagaw Ya,-10.6748,142.196,kala1377,,,,,,,,,,,Australia,
CCMCkali1308,Kalispel-Pend d'Oreille,47.5825,-114.19,kali1308,,,,,,,,,,,Northwestern U.S.A.,
CCMCkama1373,Kamayurá,-12.2661,-53.4651,kama1373,,,,,,,,,,,Brazil,
CCMCkamb1320,Central-East Sumbanese,-9.646905555555557,119.76885,kamb1320,,,,,,,,,,,Malesia,
CCMCkana1291,Katukína-Kanamarí,-6.45399,-68.7678,kana1291,,,,,,,,,,,Brazil,
CCMCkara1467,Kara-Kalpak,39.98005,63.32233,kara1467,,,,,,,,,,,Middle Asia,
CCMCkara1483,Karamojong,2.45157,34.2761,kara1483,,,,,,,,,,,East Tropical Africa,
CCMCkara1484,Karanga,13.1748,20.6354,kara1484,,,,,,,,,,,Northeast Tropical Africa,
CCMCkara1500,Karajá,-11.1881,-50.3492,kara1500,,,,,,,,,,,Brazil,
CCMCkash1274,Kashubian,54.2996,18.6163,kash1274,,,,,,,,,,,Middle Europe,
CCMCkaul1240,Kaulong,-6.08192,149.696,kaul1240,,,,,,,,,,,Papuasia,
CCMCkaya1330,Kayapó,-7.77352,-51.6737,kaya1330,,,,,,,,,,,Brazil,
CCMCkaza1248,Kazakh,51.17,71.454,kaza1248,,,,,,,,,,,Middle Asia,
CCMCkekc1242,Kekchí,15.3788,-89.2452,kekc1242,,,,,,,,,,,Central America,
CCMCkela1258,Kelabit,3.31783,115.428,kela1258,,,,,,,,,,,Malesia,
CCMCkema1243,Kemak,-9.00299,125.159,kema1243,,,,,,,,,,,Malesia,
CCMCkemi1239,Kemi Saami,67.093,27.537,kemi1239,,,,,,,,,,,Northern Europe,
CCMCkere1287,Keresan,35.24745,-106.98499999999999,kere1287,,,,,,,,,,,South-Central U.S.A.,
CCMCkiny1244,Kinyarwanda,-1.56771,29.6441,kiny1244,,,,,,,,,,,West-Central Tropical Africa,
CCMCkiow1264,Kiowa Apache,34.9077,-98.2461,kiow1264,,,,,,,,,,,North-Central U.S.A.,
CCMCkiow1266,Kiowa,34.9403,-98.9042,kiow1266,,,,,,,,,,,North-Central U.S.A.,
CCMCkirg1245,Kirghiz,42.0,74.0,kirg1245,,,,,,,,,,,Middle Asia,
CCMCkohi1250,Kohin,-1.43973,111.905,kohi1250,,,,,,,,,,,Malesia,
CCMCkomi1269,Komi-Permyak,59.6602,54.7959,komi1269,,,,,,,,,,,Eastern Europe,
CCMCkore1280,Korean,37.54,126.98,kore1280,,,,,,,,,,,Eastern Asia,
CCMCkory1246,Koryak,63.8977,166.695,kory1246,,,,,,,,,,,Russian Far East,
CCMCkota1263,Kota (India),11.4978,76.9387,kota1263,,,,,,,,,,,Indian Subcontinent,
CCMCkoyo1242,Koyo,-0.69688,15.7508,koyo1242,,,,,,,,,,,West-Central Tropical Africa,
CCMCkrah1246,Krahô,-8.01172,-47.5774,krah1246,,,,,,,,,,,Brazil,
CCMCkuik1246,Kuikúro-Kalapálo,-12.3035,-53.2261,kuik1246,,,,,,,,,,,Brazil,
CCMCkuma1280,Kuman,-5.90586,144.977,kuma1280,,,,,,,,,,,Papuasia,
CCMCkups1238,Kupsabiny,1.33197,34.5991,kups1238,,,,,,,,,,,East Tropical Africa,
CCMCkurd1259,Kurdish,35.18386666666667,45.13510000000001,kurd1259,,,,,,,,,,,Western Asia,
CCMCkwak1269,Kwak'wala,50.9269,-127.308,kwak1269,,,,,,,,,,,Western Canada,
CCMCkwen1247,Kwenyii,-22.2689,166.705,kwen1247,,,,,,,,,,,Southwestern Pacific,
CCMCladi1251,Ladino,41.205,28.6632,ladi1251,,,,,,,,,,,Southeastern Europe,
CCMClako1247,Lakota,46.3699,-103.95,lako1247,,,,,,,,,,,North-Central U.S.A.,
CCMClala1264,Lala-Bisa,-12.945,30.2297,lala1264,,,,,,,,,,,South Tropical Africa,
CCMClaoo1244,Lao,19.0,102.46,laoo1244,,,,,,,,,,,Indo-China,
CCMClard1243,Lardil,-16.56152,139.4343,lard1243,,,,,,,,,,,Australia,
CCMClatv1249,Latvian,56.826108,24.309118,latv1249,,,,,,,,,,,Eastern Europe,
CCMCless1242,Lesser Antillean French Creole,16.25,-61.57,less1242,,,,,,,,,,,Caribbean,
CCMClioo1240,Li'o,-8.68615,121.832,lioo1240,,,,,,,,,,,Malesia,
CCMClith1251,Lithuanian,55.1429,23.9601,lith1251,,,,,,,,,,,Eastern Europe,
CCMClito1235,Litoka,2.69,19.24,lito1235,,,,,,,,,,,West-Central Tropical Africa,
CCMClowe1445,Lower Northern English,53.0,-1.0,lowe1445,,,,,,,,,,,Northern Europe,
CCMClowg1239,Low German,52.675131666666665,10.368006666666666,lowg1239,,,,,,,,,,,Middle Europe,
CCMCloya1239,Loyalty Islands,-21.0166,167.261,loya1239,,,,,,,,,,,Southwestern Pacific,
CCMClozi1239,Lozi,-17.7052,24.7398,lozi1239,,,,,,,,,,,Southern Africa,
CCMCluba1249,Luba-Lulua,-5.72717,22.4422,luba1249,,,,,,,,,,,West-Central Tropical Africa,
CCMClund1266,Lunda,-11.1793,23.8662,lund1266,,,,,,,,,,,South Tropical Africa,
CCMCmace1250,Macedonian,41.5957,21.7932,mace1250,,,,,,,,,,,Southeastern Europe,
CCMCmacu1259,Macushi,4.31861,-60.2209,macu1259,,,,,,,,,,,Brazil,
